TYPE|FLOW|REMARK|Unnamed: 3|VOL|ISSUE|YEAR|DOI|TITLE|AUTHOR|SCHOOL|KEY_WORDS|N_ABS|AU1|AU2|AU3|AU4|AU5|AU6|AU7|AU8|AU9|AU10|SC1|SC2|SC3|SC4|SC5|SC6|SC7|SC8|SC9|SC10|COUN1|COUN2|COUN3|COUN4|COUN5|COUN6|COUN7|COUN8|COUN9|COUN10
EM|0|0|0|14|1|2012|10.1287/msom.1110.0356|Effect of Traffic on Sales and Conversion Rates of Retail Stores|Olga Perdikaki, Saravanan Kesavan, Jayashankar M. Swaminathan|Mays Business School, Texas A&M University, College Station, Texas 77843;Kenan-Flagler Business School, University of North Carolina, Chapel Hill, North Carolina 27599;Kenan-Flagler Business School, University of North Carolina, Chapel Hill, North Carolina 27599|store performance; traffic variability; traffic uncertainty; store labor management; retail operations|Attracting shoppers to stores and converting the incoming traffic into sales profitably are vital for the financial health of retailers. In this paper, we use proprietary data pertaining to an apparel retailer to study the relationship between store traffic, labor, and sales performance. We decompose sales volume into conversion rate (defined as the ratio of number of transactions to traffic) and basket value (defined as the ratio of sales volume to number of transactions) and analyze the impact of traffic on sales and its components. We find that store sales volume exhibits diminishing returns to scale with respect to traffic, and labor moderates the impact of traffic on sales. For example, we find that for values of traffic and labor corresponding to the mean, increasing average traffic per hour by one unit increases average sales volume per hour by $9.97. Further, we find that the marginal returns to traffic increases from $10.00 to $11.32 when labor increases by one standard deviation. In addition, we find that the conversion rate declines with increasing traffic and a lower conversion rate is associated with a decrease in future traffic growth. Our study underscores the importance of in-store operations in driving the financial performance of retailers.|Olga Perdikaki| Saravanan Kesavan| Jayashankar M. Swaminathan||||||||Mays Business School, Texas A&M University, College Station, Texas 77843|Kenan-Flagler Business School, University of North Carolina, Chapel Hill, North Carolina 27599|Kenan-Flagler Business School, University of North Carolina, Chapel Hill, North Carolina 27599||||||||USA|USA|USA|||||||
T|P+I|0|0|4|1|2002|10.1287/msom.4.1.55.285|Gaining Benefits from Joint Forecasting and Replenishment Processes: The Case of Auto-Correlated Demand|Yossi Aviv|Olin School of Business, Washington University, St. Louis, Missouri 63130|Collaborative Forecasting; CPFR; Supply Chain Management; VMI|In this paper we consider a cooperative, two-level supply chain consisting of a retailer and a supplier. As in many practical settings, the supply chain members progressively observe market signals that enable them to explain future demand. The demand itself evolves according to an auto-regressive time series. We examine three types of supply chain configurations. In the first setting, the retailer and the supplier coordinate their policy parameters in an attempt to minimize systemwide costs, but they do not share their observations of market signals. In the second setting, resembling many original vendor-managed inventory (VMI) programs, the supplier takes the full responsibility of managing the supply chain's inventory, but the retailer's observations of market signals are not transferred to him. In our third setting, reminiscent of collaborative forecasting and replenishment partnerships, inventory is managed centrally, and all demand related information is shared. We propose a set of stylized models to study the three settings and use them to provide managerial insights into the value of information sharing, VMI, and collaborative forecasting.|Yossi Aviv||||||||||Olin School of Business, Washington University, St. Louis, Missouri 63130||||||||||USA|||||||||
T|P|0|0|12|3|2010|10.1287/msom.1090.0279|Mitigating Supply Risk: Dual Sourcing or Process Improvement?|Yimin Wang, Wendell Gilland, Brian Tomlin|W. P. Carey School of Business, Arizona State University, Tempe, Arizona 85287;Kenan-Flagler Business School, University of North Carolina, Chapel Hill, North Carolina 27599;Tuck School of Business, Dartmouth College, Hanover, New Hampshire 03775|operations strategy; risk management; supply chain management|Surveys suggest that supply chain risk is a growing issue for executives and that supplier reliability is of particular concern. A common mitigation strategy is for the buying firm to expend effort improving the reliability of its supply base. We explore a model in which a firm can source from multiple suppliers and/or exert effort to improve supplier reliability. For both random capacity and random yield types of supply uncertainty, we propose a model of process improvement in which improvement efforts (if successful) increase supplier reliability in the sense that the delivered quantity (for any given order quantity) is stochastically larger after improvement. We characterize the optimal procurement quantities and improvement efforts and generate managerial insights. For random capacity, improvement is increasingly favored over dual sourcing as the supplier cost heterogeneity increases, but dual sourcing is favored over improvement if the supplier reliability heterogeneity is high. In the random yield model, increasing cost heterogeneity can reduce the attractiveness of improvement, and improvement can be favored over dual sourcing if the reliability heterogeneity is high. A combined strategy (improvement and dual sourcing) can provide significant value if suppliers are very unreliable and/or capacity is low relative to demand.|Yimin Wang| Wendell Gilland| Brian Tomlin||||||||W. P. Carey School of Business, Arizona State University, Tempe, Arizona 85287|Kenan-Flagler Business School, University of North Carolina, Chapel Hill, North Carolina 27599|Tuck School of Business, Dartmouth College, Hanover, New Hampshire 03775||||||||USA|USA|USA|||||||
T|0|0|0|19|1|2017|10.1287/msom.2016.0598|Open or Closed? Technology Sharing, Supplier Investment, and Competition|Bin Hu, Ming Hu, Yi Yang|Kenan-Flagler Business School, University of North Carolina, Chapel Hill, North Carolina 27599;Rotman School of Management, University of Toronto, Toronto, Ontario M5S 3E6, Canada;School of Management, Zhejiang University, Hangzhou, Zhejiang 310027, China|open technology; technology choice; competitive strategy; supplier investment; procurement|Competing technologies in emerging industries create uncertainties that discourage supplier investments. Open technology can induce supplier investments, but may also lead to intensified future competition. In this paper, we study competing manufacturers’ open-technology strategies. We show that despite the risk of intensifying future competition, open technologies by competing manufacturers may constitute an equilibrium and can indeed induce supplier investments. In addition, we identify a technology-risk-pooling benefit; namely, by opening technologies, competing manufacturers can induce supplier investments in both technologies and later adopt the one preferred by the market. However, manufacturers may also exhibit the prisoner’s dilemma and close their technologies despite the risk-pooling benefit. In this case, there is potential for collaborative technology sharing through cross licensing. Finally, we show that manufacturers may sometimes close their technologies to force supplier investments.|Bin Hu| Ming Hu| Yi Yang||||||||Kenan-Flagler Business School, University of North Carolina, Chapel Hill, North Carolina 27599|Rotman School of Management, University of Toronto, Toronto, Ontario M5S 3E6, Canada|School of Management, Zhejiang University, Hangzhou, Zhejiang 310027, China||||||||USA|CANADA|CHINA|||||||
T|0|revenue managEMent+ dynamicPricing|0|8|2|2006|10.1287/msom.1060.0105|Dynamic Pricing Strategies for Multiproduct Revenue Management Problems|Constantinos Maglaras, Joern Meissner|Columbia Business School, Columbia University, 409 Uris Hall, 3022 Broadway, New York, New York 10027;Lancaster University Management School, Lancaster University, Room A48, Lancaster LA1 4XY, United Kingdom|revenue management; dynamic pricing; capacity controls; fluid approximations; efficient frontier|Consider a firm that owns a fixed capacity of a resource that is consumed in the production or delivery of multiple products. The firm strives to maximize its total expected revenues over a finite horizon, either by choosing a dynamic pricing strategy for each product or, if prices are fixed, by selecting a dynamic rule that controls the allocation of capacity to requests for the different products. This paper shows how these well-studied revenue management problems can be reduced to a common formulation in which the firm controls the aggregate rate at which all products jointly consume resource capacity, highlighting their common structure, and in some cases leading to algorithmic simplifications through the reduction in the control dimension of the associated optimization problems. In the context of their associated deterministic (fluid) formulations, this reduction leads to a closed-form characterization of the optimal controls, and suggests several natural static and dynamic pricing heuristics. These are analyzed asymptotically and through an extensive numerical study. In the context of the former, we show that “resolving” the fluid heuristic achieves asymptotically optimal performance under fluid scaling.|Constantinos Maglaras| Joern Meissner|||||||||Columbia Business School, Columbia University, 409 Uris Hall, 3022 Broadway, New York, New York 10027|Lancaster University Management School, Lancaster University, Room A48, Lancaster LA1 4XY, United Kingdom|||||||||USA|UNITED KINGDOM||||||||
T|P|0|0|5|4|2003|10.1287/msom.5.4.269.24882|Commissioned Paper: Capacity Management, Investment, and Hedging: Review and Recent Developments|Jan A. Van Mieghem|Kellogg School of Management, Northwestern University, Evanston, Illinois 60208-2009|Capacity; Investment; Expansion; Planning; Real Options; Hedging; Risk; Mean-Variance|This paper reviews the literature on strategic capacity management concerned with determining the sizes, types, and timing of capacity investments and adjustments under uncertainty. Specific attention is given to recent developments to incorporate multiple decision makers, multiple capacity types, hedging, and risk aversion. Capacity is a measure of processing abilities and limitations and is represented as a vector of stocks of various processing resources, while investment is the change of capacity and includes expansion and contraction. After discussing general issues in capacity investment problems, the paper reviews models of capacity investment under uncertainty in three settings:|Jan A. Van Mieghem||||||||||Kellogg School of Management, Northwestern University, Evanston, Illinois 60208-2009||||||||||USA|||||||||
T|P+I|0|0|3|3|2001|10.1287/msom.3.3.242.9888|Information and Inventory Recourse for a Two-Market, Price-Setting Retailer|Nicholas C. Petruzzi, Maqbool Dada|Department of Business Administration, University of Illinois, 350 Commerce West Building, 1206 South Sixth Street, Champaign, Illinois 61820;Krannert Graduate School of Management, Purdue University, West Lafayette, Indiana 47907-1310|Inventory Management; Pricing; Informational Dynamics; Operations/Marketing Interface|We analyze the problem of determining inventory and pricing decisions in a two-period retail setting when an opportunity to refine information about uncertain demand is available. The model extends the newsvendor problem with pricing by allowing for multiple suppliers, the pooling of procurement resources, and more general informational dynamics. One contribution is the solution procedure: We show that all decisions (up to 7 in all, including recourse decisions) can be determined uniquely as a function of a surrogate first-period decision called the stocking factor. Hence, the two-period decision problem with recourse reduces to a search for one decision variable. A second contribution is the policy implications: We find that the cost of learning is (1) a consequence of censored information because, on the margin, learning is free if full information is guaranteed; (2) measured in the form of an increased stocking factor; and (3) shared with the consumer in the form of a higher selling price when demand uncertainty is additive. A third contribution is the application of the results to three motivating examples: a market research problem in which a product is introduced in a test market prior to a widespread launch; a global newsvendor problem in which a seasonal product is sold in two different countries with nonoverlapping selling seasons; and a minimum-quantity commitment problem in which procurement resources for multiple purchases may be pooled.|Nicholas C. Petruzzi| Maqbool Dada|||||||||Department of Business Administration, University of Illinois, 350 Commerce West Building, 1206 South Sixth Street, Champaign, Illinois 61820|Krannert Graduate School of Management, Purdue University, West Lafayette, Indiana 47907-1310|||||||||USA|USA||||||||
T|I|auction; mechanism design|0|19|4|2017|10.1287/msom.2017.0623|Framework Agreements in Procurement: An Auction Model and Design Recommendations|Yonatan Gur, Lijian Lu, Gabriel Y. Weintraub|Stanford University, Stanford, California 94305;Columbia University, New York, New York 10027;Stanford University, Stanford, California 94305|procurement; supply chain management; auction theory; mechanism design|Framework agreements (FAs) are procurement mechanisms commonly used by buying agencies around the world to satisfy demand that arises over a certain time horizon. This paper is one of the first in the literature that provides a formal understanding of FAs, with a particular focus on the cost uncertainty bidders face over the FA time horizon. We generalize standard auction models to include this salient feature of FAs and analyze this model theoretically and numerically. First, we show that FAs are subject to a sort of winner’s curse that in equilibrium induces higher expected buying prices relative to running first-price auctions as needs arise. Then, our results provide concrete design recommendations that alleviate this issue and decrease buying prices in FAs, highlighting the importance of (i) monitoring the price charged at the open market by the FA winner to bound the buying price; (ii) implementing price indexes for the random part of suppliers’ costs; and (iii) allowing suppliers the flexibility to reduce their prices to compete with the open market throughout the selling horizon. These prescriptions are already being used by the Chilean government procurement agency that buys US$2 billion worth of contracts yearly using FAs.|Yonatan Gur| Lijian Lu| Gabriel Y. Weintraub||||||||Stanford University, Stanford, California 94305|Columbia University, New York, New York 10027|Stanford University, Stanford, California 94305||||||||USA|USA|USA|||||||
T|P|0|0|18|3|2016|10.1287/msom.2015.0568|Optimal Time Allocation for Process Improvement for Growth-Focused Entrepreneurs|Onesun Steve Yoo, Charles J. Corbett, Guillaume Roels|UCL School of Management, University College London, London E14 5AB, United Kingdom;UCLA Anderson School of Management, Los Angeles, California 90095;UCLA Anderson School of Management, Los Angeles, California 90095|entrepreneurship; process improvement; time allocation; dynamic programming|For many entrepreneurs, time is a key constraint. They need to invest time to achieve growth, but also lose time because of recurring crises. We develop a simple stochastic dynamic program to model how an entrepreneur should prioritize between improving processes to reduce crises versus harvesting revenue or ensuring future growth. We show that it is initially optimal to prioritize process improvement: an entrepreneur should strive for high process quality early in the venture’s growth process. We numerically analyze a simple heuristic derived from this optimal policy and identify the conditions under which it is (or is not) effective. It performs near optimally except when process quality or revenue rate may deteriorate too fast or when the cost of process improvement or revenue enhancement is too high. Our work provides a theoretical foundation for the advice found in the popular entrepreneurship and time management literature to invest time now to save time later.|Onesun Steve Yoo| Charles J. Corbett| Guillaume Roels||||||||UCL School of Management, University College London, London E14 5AB, United Kingdom|UCLA Anderson School of Management, Los Angeles, California 90095|UCLA Anderson School of Management, Los Angeles, California 90095||||||||UNITED KINGDOM|USA|USA|||||||
T|P|0|0|5|3|2003|10.1287/msom.5.3.230.16033|The Effectiveness of Several Performance Bounds for Capacitated Production, Partial-Order-Service, Assemble-to-Order Systems|Savas Dayanik, Jing-Sheng Song, Susan H. Xu|Department of Operations Research and Financial Engineering, Princeton University, Princeton, New Jersey 08544;The Fuqua School of Business, Duke University, Durham, North Carolina 27708;Smeal College of Business Administration, Pennsylvania State University, University Park, Pennsylvania 16802|Assemble-to-Order Manufacturing Systems; Performance Measures; Setwise Lower/Upper Bounds|We consider an assemble-to-order (ATO) system: Components are made to stock by production facilities with finite capacities, and final products are assembled only in response to customers' orders. The key performance measures in this system, such as order fill rates, involve evaluation of multivariate probability distributions, which is computationally demanding if not intractable. The purpose of this paper is to develop computationally efficient performance estimates. We examine several ideas scattered in diverse literatures on approximations for multivariate probability distributions, and determine which approach is most effective in the ATO application. To do so, we first tailor different approximation ideas to the ATO setting to derive performance bounds, and then compare these bounds theoretically and numerically. The bounds also allow us to make connections between capacitated and uncapacitated ATO systems and gain various insights.|Savas Dayanik| Jing-Sheng Song| Susan H. Xu||||||||Department of Operations Research and Financial Engineering, Princeton University, Princeton, New Jersey 08544|The Fuqua School of Business, Duke University, Durham, North Carolina 27708|Smeal College of Business Administration, Pennsylvania State University, University Park, Pennsylvania 16802||||||||USA|USA|USA|||||||
T+EM|F|real options;Futures term structures; hedging|0|17|3|2015|10.1287/msom.2015.0518|Merchant Commodity Storage and Term-Structure Model Error|Nicola Secomandi, Guoming Lai, François Margot, Alan Scheller-Wolf, Duane J. Seppi|Tepper School of Business, Carnegie Mellon University, Pittsburgh, Pennsylvania 15213;McCombs School of Business, University of Texas at Austin, Austin, Texas 78712;Tepper School of Business, Carnegie Mellon University, Pittsburgh, Pennsylvania 15213;Tepper School of Business, Carnegie Mellon University, Pittsburgh, Pennsylvania 15213;Tepper School of Business, Carnegie Mellon University, Pittsburgh, Pennsylvania 15213|model error; commodity and energy real options; natural gas storage; futures term structures; delta hedging and mean-variance hedging|Merchant operations involves valuing and hedging the cash flows of commodity- and energy-conversion assets as real options based on stochastic models that inevitably embed model error. In this paper we quantify how empirically calibrated model errors concerning the futures term structure affect the valuation and hedging of natural gas storage. We find that even small model errors—on the order of 1%–2% of the empirical futures price variance—can have a disproportionate impact on storage valuation and hedging. In particular, theoretically equivalent hedging strategies have very different sensitivities to model error, with one natural strategy exhibiting potentially catastrophic performance in the presence of small model errors. We propose effective approaches to mitigate the negative effect of futures term-structure model error on hedging, also taking into account futures contract illiquidity, and provide theoretical justification for some of these approaches. Beyond commodity storage, our analysis has relevance for other real and financial options that depend on futures term-structure dynamics, as well as for inventory, production, and capacity investment policies that rely on demand-forecast term structures.|Nicola Secomandi| Guoming Lai| François Margot| Alan Scheller-Wolf| Duane J. Seppi||||||Tepper School of Business, Carnegie Mellon University, Pittsburgh, Pennsylvania 15213|McCombs School of Business, University of Texas at Austin, Austin, Texas 78712|Tepper School of Business, Carnegie Mellon University, Pittsburgh, Pennsylvania 15213|Tepper School of Business, Carnegie Mellon University, Pittsburgh, Pennsylvania 15213|Tepper School of Business, Carnegie Mellon University, Pittsburgh, Pennsylvania 15213||||||USA|USA|USA|USA|USA|||||
