TYPE|FLOW|REMARK|Unnamed: 3|VOL|ISSUE|YEAR|DOI|TITLE|AUTHOR|SCHOOL|KEY_WORDS|N_ABS|AU1|AU2|AU3|AU4|AU5|AU6|AU7|AU8|AU9|AU10|SC1|SC2|SC3|SC4|SC5|SC6|SC7|SC8|SC9|SC10|COUN1|COUN2|COUN3|COUN4|COUN5|COUN6|COUN7|COUN8|COUN9|COUN10
T|0|survey on dynamicPricing|0|5|3|2003|10.1287/msom.5.3.203.16031|An Overview of Pricing Models for Revenue Management|Gabriel Bitran, René Caldentey|Sloan School of Management, MIT, Cambridge, Massachusetts 02139;Stern School of Business, New York University, New York, New York 10012|Revenue Management; Dynamic Pricing|In this paper, we examine the research and results of dynamic pricing policies and their relation to revenue management. The survey is based on a generic revenue management problem in which a perishable and nonrenewable set of resources satisfy stochastic price sensitive demand processes over a finite period of time. In this class of problems, the owner (or the seller) of these resources uses them to produce and offer a menu of final products to the end customers. Within this context, we formulate the stochastic control problem of capacity that the seller faces: How to dynamically set the menu and the quantity of products and their corresponding prices to maximize the total revenue over the selling horizon.|Gabriel Bitran| René Caldentey|||||||||Sloan School of Management, MIT, Cambridge, Massachusetts 02139|Stern School of Business, New York University, New York, New York 10012|||||||||USA|USA||||||||
T+EM|F|checked thePaper|0|6|3|2004|10.1287/msom.1040.0043|Efficiency Analysis of Agricultural Market Advisory Services: A Nonlinear Mixed-Integer Programming Approach|Silvina M. Cabrini, Brian G. Stark, Hayri Önal, Scott H. Irwin, Darrel L. Good, João Martines-Filho|Department of ACE, University of Illinois at Urbana-Champaign, 305 Mumford Hall, Urbana, Illinois 61822;Department of ACE, University of Illinois at Urbana-Champaign, 305 Mumford Hall, Urbana, Illinois 61822;Department of ACE, University of Illinois at Urbana-Champaign, 305 Mumford Hall, Urbana, Illinois 61822;Department of ACE, University of Illinois at Urbana-Champaign, 305 Mumford Hall, Urbana, Illinois 61822;Department of ACE, University of Illinois at Urbana-Champaign, 305 Mumford Hall, Urbana, Illinois 61822;Department of ACE, University of Illinois at Urbana-Champaign, 305 Mumford Hall, Urbana, Illinois 61822|agricultural market advisory services; corn; soybeans; efficient portfolios; nonlinear integer programming|Professional market advisory services provide specific advice (advisory programs) to grain producers on how to market their commodities, and assist them in their efforts to manage price risk. Previous studies analyzed the effectiveness of individual services and could find only weak evidence that these services help farmers improve their returns beyond market prices. The present study applies portfolio theory to determine an efficient combination of advisory programs using a nonlinear integer programming framework. The optimization results provide some evidence that an efficient portfolio provides significantly greater risk and return benefits compared to individual programs and external benchmarks. In a holdout period analysis, efficient portfolios have superior average return performance, but they fail to dominate the relevant benchmarks in terms of mean and variance. However, these out-of-sample results should be considered cautiously, given the small number of observations available.|Silvina M. Cabrini| Brian G. Stark| Hayri Önal| Scott H. Irwin| Darrel L. Good| João Martines-Filho|||||Department of ACE, University of Illinois at Urbana-Champaign, 305 Mumford Hall, Urbana, Illinois 61822|Department of ACE, University of Illinois at Urbana-Champaign, 305 Mumford Hall, Urbana, Illinois 61822|Department of ACE, University of Illinois at Urbana-Champaign, 305 Mumford Hall, Urbana, Illinois 61822|Department of ACE, University of Illinois at Urbana-Champaign, 305 Mumford Hall, Urbana, Illinois 61822|Department of ACE, University of Illinois at Urbana-Champaign, 305 Mumford Hall, Urbana, Illinois 61822|Department of ACE, University of Illinois at Urbana-Champaign, 305 Mumford Hall, Urbana, Illinois 61822|||||USA|USA|USA|USA|USA|USA||||
T|I|0|0|7|4|2005|10.1287/msom.1050.0084|A Supply Chain Model with Reverse Information Exchange|Apurva Jain, Kamran Moinzadeh|University of Washington Business School, Seattle, Washington 98195-3200;University of Washington Business School, Seattle, Washington 98195-3200|information sharing; stochastic production-inventory system; state-dependent base stock; Markov chains|We develop a model and analyze reverse information sharing, a growing business practice in supply chain management in which a manufacturer shares information about supply with a retailer. We model the manufacturer as a production queue with finished goods warehouse, the retailer as an inventory location, and other customers as an external demand stream. In our model, the manufacturer allows the retailer access to inventory status at the warehouse. To take advantage of this new information, the retailer changes from a single-level base-stock policy to a two-level, state-dependent base-stock policy. We provide an exact method for computing performance and develop a procedure for evaluating optimal policy. We demonstrate the impact of the new policy on the manufacturer and other customers. Numerical computations lead to insights about the value of information to the retailer, and to guidelines for the manufacturer on sharing information.|Apurva Jain| Kamran Moinzadeh|||||||||University of Washington Business School, Seattle, Washington 98195-3200|University of Washington Business School, Seattle, Washington 98195-3200|||||||||USA|USA||||||||
T|P|0|0|8|2|2006|10.1287/msom.1060.0099|Impact of Partial Manufacturing Flexibility on Production Variability|Ana Muriel, Anand Somasundaram, Yongmei Zhang|University of Massachusetts, and Universidad de Salamanca (Spain), 160 Governors Drive, Amherst, Massachusetts 01003;Sony Entertainment Distribution, 555/21 Madison Avenue, New York, New York 10022;4Rsystems Inc., 1400 Liberty Ridge Drive, Suite 102, Chesterbrook, Pennsylvania 19087|manufacturing capacity and flexibility planning; production variability; demand allocation; make-to-order manufacturing systems|As manufacturers in various industries evolve toward predominantly make-to-order production to better serve their customers’ needs, increasing product mix flexibility emerges as a necessary strategy to provide adequate market responsiveness. However, the implications of increased flexibility on overall system performance are widely unknown. We develop analytical models and an optimization-based simulation tool to study the impact of increasing flexibility on shortages, production variability, component inventories, and order variability induced at upstream suppliers in general multiplant multiproduct make-to-order manufacturing systems. Our results show that|Ana Muriel| Anand Somasundaram| Yongmei Zhang||||||||University of Massachusetts, and Universidad de Salamanca (Spain), 160 Governors Drive, Amherst, Massachusetts 01003|Sony Entertainment Distribution, 555/21 Madison Avenue, New York, New York 10022|4Rsystems Inc., 1400 Liberty Ridge Drive, Suite 102, Chesterbrook, Pennsylvania 19087||||||||USA|USA|USA|||||||
T|P|0|0|8|2|2006|10.1287/msom.1060.0103|Product Line Design with Component Commonality and Cost-Reduction Effort|Hans Sebastian Heese, Jayashankar M. Swaminathan|Kelley School of Business, Indiana University, Bloomington, Indiana 47405;Kenan-Flagler Business School, University of North Carolina at Chapel Hill, Chapel Hill, North Carolina 27599-3490|component commonality; marketing-manufacturing interface; product line design|Market pressure for low prices paired with customer demand for high product variety presents a considerable dilemma for many manufacturers. Industry practice and research to date suggest that approaches based on component commonality can substantially lower the costs of proliferated product lines, but at the cost of reducing product differentiation and revenues. We analyze a stylized model of a manufacturer who designs a product line consisting of two products for sale to two market segments with different valuations of quality. The manufacturer determines the component quality levels, the amount of effort to reduce production costs, and whether to use common or different components for the two products.|Hans Sebastian Heese| Jayashankar M. Swaminathan|||||||||Kelley School of Business, Indiana University, Bloomington, Indiana 47405|Kenan-Flagler Business School, University of North Carolina at Chapel Hill, Chapel Hill, North Carolina 27599-3490|||||||||USA|USA||||||||
T|P|0|0|9|1|2007|10.1287/msom.1060.0126|Simple Relational Contracts to Motivate Capacity Investment: Price Only vs. Price and Quantity|Terry A. Taylor, Erica L. Plambeck|Graduate School of Business, Columbia University, New York, New York 10027 and Tuck School of Business, Dartmouth College, Hanover, New Hampshire 03755;Graduate School of Business, Stanford University, Stanford, California 94305|relational contracts; supply chain management; capacity investment; price-only contracts|Because of long lead times associated with product development and building capacity, a supplier must initiate investment in capacity when the product development effort is ongoing. Because the product is ill defined at this point in time, the buyer is unable to commit to the future terms of trade through a court-enforceable contract. Instead, to provide incentives for capacity investment, the buyer informally promises future terms of trade. The prospect of future interaction creates an incentive for the buyer to pay the supplier as promised. We characterize optimal price-only and price-and-quantity promises and compare their performance. If the production cost is low and either the capacity cost is low or the discount factor is high, then the buyer should promise to purchase a specific quantity rather than simply promise to pay a per unit price; otherwise, the buyer should simply promise to pay a specified unit price.|Terry A. Taylor| Erica L. Plambeck|||||||||Graduate School of Business, Columbia University, New York, New York 10027 and Tuck School of Business, Dartmouth College, Hanover, New Hampshire 03755|Graduate School of Business, Stanford University, Stanford, California 94305|||||||||USA|USA||||||||
EM|I|0|0|9|4|2007|10.1287/msom.1060.0134|Estimating Demand Uncertainty Using Judgmental Forecasts|Vishal Gaur, Saravanan Kesavan, Ananth Raman, Marshall L. Fisher|Leonard N. Stern School of Business, New York University, 44 West Fourth Street, New York, New York 10012;Harvard Business School, Morgan Hall, Soldiers Field, Boston, Massachusetts 02163;Harvard Business School, Morgan Hall, Soldiers Field, Boston, Massachusetts 02163;The Wharton School, University of Pennsylvania, Jon M. Huntsman Hall, 3730 Walnut Street, Philadelphia, Pennsylvania 19104-6366|demand uncertainty; forecast dispersion; heteroscedasticity|Measuring demand uncertainty is a key activity in supply chain planning, but it is difficult when demand history is unavailable, such as for new products. One method that can be applied in such cases uses dispersion among forecasting experts as a measure of demand uncertainty. This paper provides a test for this method and presents a heteroscedastic regression model for estimating the variance of demand using dispersion among experts' forecasts and scale. We test this methodology using three data sets: demand data at item level, sales data at firm level for retailers, and sales data at firm level for manufacturers. We show that the variance of a random variable (demand and sales for our data sets) is positively correlated with both dispersion among experts' forecasts and scale: The variance increases sublinearly with dispersion and more than linearly with scale. Further, we use longitudinal data sets with sales forecasts made three to nine months before the earnings report date for retailers and manufacturers to show that the effects of dispersion and scale on variance of forecast error are consistent over time.|Vishal Gaur| Saravanan Kesavan| Ananth Raman| Marshall L. Fisher|||||||Leonard N. Stern School of Business, New York University, 44 West Fourth Street, New York, New York 10012|Harvard Business School, Morgan Hall, Soldiers Field, Boston, Massachusetts 02163|Harvard Business School, Morgan Hall, Soldiers Field, Boston, Massachusetts 02163|The Wharton School, University of Pennsylvania, Jon M. Huntsman Hall, 3730 Walnut Street, Philadelphia, Pennsylvania 19104-6366|||||||USA|USA|USA|USA||||||
EM|P+I|bullwhip|0|9|4|2007|10.1287/msom.1060.0149|In Search of the Bullwhip Effect|Gérard P. Cachon, Taylor Randall, Glen M. Schmidt|The Wharton School, University of Pennsylvania, Philadelphia, Pennsylvania 19104;David Eccles School of Business, University of Utah, Salt Lake City, Utah 84112;David Eccles School of Business, University of Utah, Salt Lake City, Utah 84112|bullwhip effect; production smoothing; supply chain management; volatility|The bullwhip effect is the phenomenon of increasing demand variability in the supply chain from downstream echelons (retail) to upstream echelons (manufacturing). The objective of this study is to document the strength of the bullwhip effect in industry-level U.S. data. In particular, we say an industry exhibits the bullwhip effect if the variance of the inflow of material to the industry (what macroeconomists often refer to as the variance of an industry's “production”) is greater than the variance of the industry's sales. We find that wholesale industries exhibit a bullwhip effect, but retail industries generally do not exhibit the effect, nor do most manufacturing industries. Furthermore, we observe that manufacturing industries do not have substantially greater demand volatility than retail industries. Based on theoretical explanations for observing or not observing demand amplification, we are able to explain a substantial portion of the heterogeneity in the degree to which industries exhibit the bullwhip effect. In particular, the less seasonal an industry's demand, the more likely the industry amplifies volatility—highly seasonal industries tend to smooth demand volatility whereas nonseasonal industries tend to amplify.|Gérard P. Cachon| Taylor Randall| Glen M. Schmidt||||||||The Wharton School, University of Pennsylvania, Philadelphia, Pennsylvania 19104|David Eccles School of Business, University of Utah, Salt Lake City, Utah 84112|David Eccles School of Business, University of Utah, Salt Lake City, Utah 84112||||||||USA|USA|USA|||||||
T|I|0|0|10|1|2008|10.1287/msom.1070.0157|Designing Optimal Preannounced Markdowns in the Presence of Rational Customers with Multiunit Demands|Wedad Elmaghraby, Altan Gülcü, Pınar Keskinocak|R. H. Smith School of Business, University of Maryland, College Park, Maryland 20742;H. Milton Stewart School of Industrial and Systems Engineering, Georgia Institute of Technology, Atlanta, Georgia 30332, and SAS Institute Inc., Cary, North Carolina 27513;H. Milton Stewart School of Industrial and Systems Engineering, Georgia Institute of Technology, Atlanta, Georgia 30332|pricing; markdown; strategic bidding; price discrimination|We analyze the optimal design of a markdown pricing mechanism with preannounced prices. In the presence of limited supply, buyers who choose to purchase at a lower price may face a scarcity in supply. Our focus is on the structure of the optimal markdown mechanisms in the presence of rational or strategic buyers who demand multiple units. We first examine a complete information setting where the set of customer valuations is known but the seller does not know the valuation of each individual customer (i.e., cannot exercise perfect price discrimination). We then generalize our analysis to an incomplete valuation information setting where customer valuations are drawn from known distributions. For both settings, we compare the seller's profit resulting from the optimal markdown mechanism and the optimal single price. We provide a number of managerial insights into designing profitable markdown mechanisms.|Wedad Elmaghraby| Altan Gülcü| Pınar Keskinocak||||||||R. H. Smith School of Business, University of Maryland, College Park, Maryland 20742|H. Milton Stewart School of Industrial and Systems Engineering, Georgia Institute of Technology, Atlanta, Georgia 30332, and SAS Institute Inc., Cary, North Carolina 27513|H. Milton Stewart School of Industrial and Systems Engineering, Georgia Institute of Technology, Atlanta, Georgia 30332||||||||USA|USA|USA|||||||
T+EX|P|0|0|10|4|2008|10.1287/msom.1070.0177|Dual Sales Channel Management with Service Competition|Kay-Yut Chen, Murat Kaya, Özalp Özer|Hewlett-Packard Laboratories, Palo Alto, California 94304;Sabanci University, Istanbul, 34956, Turkey;Stanford University, Stanford, California 94305|dual channels; direct channel; service competition; product availability; supply chain contracting; experimental economics|We study a manufacturer's problem of managing his direct online sales channel together with an independently owned bricks-and-mortar retail channel, when the channels compete in service. We incorporate a detailed consumer channel choice model in which the demand faced in each channel depends on the service levels of both channels as well as the consumers' valuation of the product and shopping experience. The direct channel's service is measured by the delivery lead time for the product; the retail channel's service is measured by product availability. We identify optimal dual channel strategies that depend on the channel environment described by factors such as the cost of managing a direct channel, retailer inconvenience, and some product characteristics. We also determine when the manufacturer should establish a direct channel or a retail channel if he is already selling through one of these channels. Finally, we conduct a sequence of controlled experiments with human subjects to investigate whether our model makes reasonable predictions of human behavior. We determine that the model accurately predicts the direction of changes in the subjects' decisions, as well as their channel strategies in response to the changes in the channel environment. These observations suggest that the model can be used in designing channel strategies for an actual dual channel environment.1|Kay-Yut Chen| Murat Kaya| Özalp Özer||||||||Hewlett-Packard Laboratories, Palo Alto, California 94304|Sabanci University, Istanbul, 34956, Turkey|Stanford University, Stanford, California 94305||||||||USA|TURKEY|USA|||||||
T|P|0|0|11|3|2009|10.1287/msom.1080.0235|The Value of Component Commonality in a Dynamic Inventory System with Lead Times|Jing-Sheng Song, Yao Zhao|Fuqua School of Business, Duke University, Durham, North Carolina 27708, and Antai College of Economics and Management, Jiao Tong University, Shanghai, 200052 China;Department of Supply Chain Management and Marketing Sciences, Rutgers University, Newark, New Jersey 07102|component commonality; dynamic model; lead times; allocation rules; assemble-to-order systems|Component commonality has been widely recognized as a key factor in achieving product variety at low cost. Yet the theory on the value of component commonality is rather limited in the inventory literature. The existing results were built primarily on single-period models or periodic-review models with zero lead times. In this paper, we consider a continuous-review system with positive lead times. We find that although component commonality is in general beneficial, its value depends strongly on component costs, lead times, and dynamic allocation rules. Under certain conditions, several previous findings based on static models do not hold. In particular, component commonality does not always generate inventory benefits under certain commonly used allocation rules. We provide insight on when component commonality generates inventory benefits and when it may not. We further establish some asymptotic properties that connect component lead times and costs to the impact of component commonality. Through numerical studies, we demonstrate the value of commonality and its sensitivity to various system parameters in between the asymptotic limits. In addition, we show how to evaluate the system under a new allocation rule, a modified version of the standard first-in-first-out rule.|Jing-Sheng Song| Yao Zhao|||||||||Fuqua School of Business, Duke University, Durham, North Carolina 27708, and Antai College of Economics and Management, Jiao Tong University, Shanghai, 200052 China|Department of Supply Chain Management and Marketing Sciences, Rutgers University, Newark, New Jersey 07102|||||||||CHINA|USA||||||||
T|0|0|0|11|3|2009|10.1287/msom.1080.0223|Real-Time Delay Estimation Based on Delay History|Rouba Ibrahim, Ward Whitt|IEOR Department, Columbia University, New York, New York 10027;IEOR Department, Columbia University, New York, New York 10027|delay estimation; real-time delay estimation; delay prediction; delay announcements; many-server queues; call centers; heavy traffic|Motivated by interest in making delay announcements to arriving customers who must wait in call centers and related service systems, we study the performance of alternative real-time delay estimators based on recent customer delay experience. The main estimators considered are: (i) the delay of the last customer to enter service (LES), (ii) the delay experienced so far by the customer at the head of the line (HOL), and (iii) the delay experienced by the customer to have arrived most recently among those who have already completed service (RCS). We compare these delay-history estimators to the standard estimator based on the queue length (QL), commonly used in practice, which requires knowledge of the mean interval between successive service completions in addition to the QL. We characterize performance by the mean squared error (MSE). We do an analysis and conduct simulations for the standard GI/M/s multiserver queueing model, emphasizing the case of large s. We obtain analytical results for the conditional distribution of the delay given the observed HOL delay. An approximation to its mean value serves as a refined estimator. For all three candidate delay estimators, the MSE relative to the square of the mean is asymptotically negligible in the many-server and classical heavy-traffic (HT) limiting regimes.|Rouba Ibrahim| Ward Whitt|||||||||IEOR Department, Columbia University, New York, New York 10027|IEOR Department, Columbia University, New York, New York 10027|||||||||USA|USA||||||||
EM|0|0|0|11|3|2009|10.1287/msom.1080.0233|The Influence of Psychological Safety and Confidence in Knowledge on Employee Knowledge Sharing|Enno Siemsen, Aleda V. Roth, Sridhar Balasubramanian, Gopesh Anand|Carlson School of Management, University of Minnesota, Minneapolis, Minnesota 55455;College of Business and Behavioral Science, Clemson University, Clemson, South Carolina 29634;Kenan-Flagler Business School, University of North Carolina at Chapel Hill, Chapel Hill, North Carolina 27599;College of Business, University of Illinois at Urbana-Champaign, Champaign, Illinois 61820|psychological safety; knowledge sharing; operational choices; auxiliary network theory|This research empirically examines the influence of psychological safety on knowledge sharing among coworkers in manufacturing and service operations contexts. Reconciling conflicting findings in the literature, we demonstrate that whereas psychological safety is an important antecedent of knowledge sharing, the relationship between psychological safety and knowledge sharing is moderated by the level of confidence that employees have in what they know. The greater this confidence, the lesser is the importance of psychological safety in facilitating knowledge sharing. Linking this result to social network theory, we find that psychological safety increases with the frequency of communication among coworkers and that the confidence of employees in their knowledge is related to the codifiability of the knowledge involved. We further investigate direct and indirect antecedents of psychological safety. This research offers insights into actions that managers can take to enhance psychological safety and, consequently, motivate their employees to share knowledge.|Enno Siemsen| Aleda V. Roth| Sridhar Balasubramanian| Gopesh Anand|||||||Carlson School of Management, University of Minnesota, Minneapolis, Minnesota 55455|College of Business and Behavioral Science, Clemson University, Clemson, South Carolina 29634|Kenan-Flagler Business School, University of North Carolina at Chapel Hill, Chapel Hill, North Carolina 27599|College of Business, University of Illinois at Urbana-Champaign, Champaign, Illinois 61820|||||||USA|USA|USA|USA||||||
T|0|0|0|12|1|2010|10.1287/msom.1080.0252|Robust Controls for Network Revenue Management|Georgia Perakis, Guillaume Roels|Sloan School of Management, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139;Anderson School of Management, University of California, Los Angeles, California 90095|revenue management; yield management; network; robust optimization; regret|Revenue management models traditionally assume that future demand is unknown but can be described by a stochastic process or a probability distribution. Demand is, however, often difficult to characterize, especially in new or nonstationary markets. In this paper, we develop robust formulations for the capacity allocation problem in revenue management using the maximin and the minimax regret criteria under general polyhedral uncertainty sets. Our approach encompasses the following open-loop controls: partitioned booking limits, nested booking limits, displacement-adjusted virtual nesting, and fixed bid prices. In specific problem instances, we show that a booking policy of the type of displacement-adjusted virtual nesting is robust, both from maximin and minimax regret perspectives. Our numerical analysis reveals that the minimax regret controls perform very well on average, despite their worst-case focus, and outperform the traditional controls when demand is correlated or censored. In particular, on real large-scale problem sets, the minimax regret approach outperforms by up to 2% the traditional heuristics. The maximin controls are more conservative but have the merit of being associated with a minimum revenue guarantee. Our models are scalable to solve practical problems because they combine efficient (exact or heuristic) solution methods with very modest data requirements.|Georgia Perakis| Guillaume Roels|||||||||Sloan School of Management, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139|Anderson School of Management, University of California, Los Angeles, California 90095|||||||||USA|USA||||||||
T|P|0|0|12|1|2010|10.1287/msom.1080.0247|Effect of Supply Reliability in a Retail Setting with Joint Marketing and Inventory Decisions|Shaoxuan Liu, Kut C. So, Fuqiang Zhang|Antai College of Economics and Management, Shanghai Jiao Tong University, Shanghai 200052, China;Paul Merage School of Business, University of California, Irvine, California 92697;Olin Business School, Washington University in St. Louis, St. Louis, Missouri 63130|supply uncertainty; inventory; marketing and operations interface; information technology; stochastic orderings|This paper studies the impact of supply reliability on a retail firm's performance under joint marketing and inventory decisions. The firm sells a product in a single selling season and can exert marketing effort to influence consumer demand. We develop a modeling framework to quantify the value of improving supply reliability and investigate how this value depends on different model parameters. Our results provide useful insights into how firms should make investment decisions on adopting new technologies to improve supply reliability. First, we establish a necessary and sufficient condition under which the maximum unit cost a firm is willing to pay to improve supply reliability increases in product price. We further show that this condition would hold in most practical situations. Thus, with some caveats, our result supports the intuition that a firm is willing to pay more to improve supply reliability for products with a higher price. Next, we show that for two products with the same price, a firm is willing to pay more to improve supply reliability for the product with a higher product cost. This implies that it is not necessarily true that emerging technologies for improving supply reliability should be first adopted for products with the highest unit contribution margin. Finally, we show that a product with a lower marketing cost function always benefits more from improved supply reliability than a product with a higher marketing cost function. This finding suggests that the priority of adopting new technologies should be given to situations where the firm can effectively induce greater demand through promotional effort.|Shaoxuan Liu| Kut C. So| Fuqiang Zhang||||||||Antai College of Economics and Management, Shanghai Jiao Tong University, Shanghai 200052, China|Paul Merage School of Business, University of California, Irvine, California 92697|Olin Business School, Washington University in St. Louis, St. Louis, Missouri 63130||||||||CHINA|USA|USA|||||||
T|P|0|0|12|2|2010|10.1287/msom.1090.0276|Managing Perishables with Substitution: Inventory Issuance and Replenishment Heuristics|Borga Deniz, Itir Karaesmen, Alan Scheller-Wolf|Joseph W. Luter, III School of Business, Christopher Newport University, Newport News, Virginia 23606;R. H. Smith School of Business, University of Maryland, College Park, Maryland 20742;Tepper School of Business, Carnegie Mellon University, Pittsburgh, Pennsylvania 15213|inventory management; perishable goods; substitution; heuristics|We consider a discrete-time supply chain for perishable goods having separate demand streams for items of different ages. For a good that has two periods of lifetime, we build a model that generalizes and/or subsumes many of the models in the literature and study the effectiveness of two intuitive heuristic (base-stock) replenishment policies combined with different substitution rules. For each replenishment policy, we identify sufficient conditions on cost parameters for a substitution rule to be economically superior to others under our base-stock replenishment policies. Our analysis shows that the replenishment policy almost universally advocated in the perishable inventory literature may lead to pathological behavior when used with issuance rules that pool inventory (via substitution) to satisfy multiple, age-differentiated demand streams. Furthermore, we find that system behavior is typically more predictable, and potentially less costly, under a policy long-discarded in the literature that ignores the inventory of aged items, ordering a constant amount each period. Thus the benefit of pooling inventory for substitutable, perishable products depends critically on the replenishment policy used.|Borga Deniz| Itir Karaesmen| Alan Scheller-Wolf||||||||Joseph W. Luter, III School of Business, Christopher Newport University, Newport News, Virginia 23606|R. H. Smith School of Business, University of Maryland, College Park, Maryland 20742|Tepper School of Business, Carnegie Mellon University, Pittsburgh, Pennsylvania 15213||||||||USA|USA|USA|||||||
EM|0|0|0|13|3|2011|10.1287/msom.1100.0325|Product Customization and Customer Service Costs: An Empirical Analysis|Anuj Kumar, Rahul Telang|The Heinz College School of Information Systems and Management, Carnegie Mellon University, Pittsburgh, Pennsylvania 15213;The Heinz College School of Information Systems and Management, Carnegie Mellon University, Pittsburgh, Pennsylvania 15213|product customization; product cocreation; health insurance; field study; customer service; product familiarity; call center|We conduct a field study in a U.S. health insurance firm to examine how product customization affects the firm's cost to serve customers through its call center. In our setting, the product is a complex health insurance plan. The firm incurs substantial costs in serving the customers through its call center and in adjudicating the claims using its information systems. The firm sells either standard plans or in some instances allows customer groups to customize their plans by adding and modifying certain aspects in active collaboration with the firm. Such a collaboration process is akin to the firm cocreating products with its customers. This cocreation process should increase customers' familiarity with their coverage and improve the fit with their medical needs. Better fit and familiarity in turn, reduces customers' incentives to contact the call center for clarifications regarding the firm's product coverage. In particular, we show that customers with a customized plan call 21% less frequently than customers with a standard plan. Our results account for possible self-selection of customers to customized plans. We also show no difference in the claims adjudication cost between a standard and a customized plan exists. Overall, our results suggest customized plans may be operationally cheaper to serve than standard plans. Thus, our paper provides a link between a growing business concern (customer support cost via call centers) and a prevalent business strategy (product customization via cocreation).|Anuj Kumar| Rahul Telang|||||||||The Heinz College School of Information Systems and Management, Carnegie Mellon University, Pittsburgh, Pennsylvania 15213|The Heinz College School of Information Systems and Management, Carnegie Mellon University, Pittsburgh, Pennsylvania 15213|||||||||USA|USA||||||||
T|0|0|0|14|1|2012|10.1287/msom.1110.0341|An Econometric Analysis of Patient Flows in the Cardiac Intensive Care Unit|Diwas Singh KC, Christian Terwiesch|Goizueta Business School, Emory University, Atlanta, Georgia 30322;The Wharton School, University of Pennsylvania, Philadelphia, Pennsylvania 19104|patient flow; health-care operations; capacity management; rework|This paper explores the rationing of bed capacity in a cardiac intensive care unit (ICU). We find that the length of stay for patients admitted to the ICU is influenced by the occupancy level of the ICU. In particular, a patient is likely to be discharged early when the occupancy in the ICU is high. This in turn leads to an increased likelihood of the patient having to be readmitted to the ICU at a later time. Such “bounce-backs” have implications for the overall ICU effective capacity—an early discharge immediately frees up capacity, but at the risk of a (potentially much higher) capacity requirement when the patient needs to be readmitted. We analyze these capacity implications, shedding light on the question of whether an ICU should apply an aggressive discharge strategy or if it should follow the old quality slogan and “do it right the first time.” By comparing the total capacity usage for patients who were discharged early versus those who were not, we show that an aggressive discharge policy applied to patients with lower clinical severity levels frees up capacity in the ICU. However, we find that an increased number of readmissions of patients with high clinical severity levels occur when the ICU is capacity constrained, thereby effectively reducing peak bed capacity.|Diwas Singh KC| Christian Terwiesch|||||||||Goizueta Business School, Emory University, Atlanta, Georgia 30322|The Wharton School, University of Pennsylvania, Philadelphia, Pennsylvania 19104|||||||||USA|USA||||||||
T|0|0|0|14|2|2012|10.1287/msom.1110.0359|Optimizing Organic Waste to Energy Operations|Barış Ata, Deishin Lee, Mustafa H. Tongarlak|Kellogg School of Management, Northwestern University, Evanston, Illinois 60208;Harvard Business School, Harvard University, Boston, Massachusetts 02163;Kellogg School of Management, Northwestern University, Evanston, Illinois 60208|organic waste to energy; sustainability; environment; operating strategy; regulation|A waste-to-energy firm that recycles organic waste with energy recovery performs two environmentally beneficial functions: it diverts waste from landfills and it produces renewable energy. At the same time, the waste-to-energy firm serves and collects revenue from two types of customers: waste generators who pay for waste disposal service and electricity consumers who buy energy. Given the process characteristics of the waste-to-energy operation, the market characteristics for waste disposal and energy, and the mechanisms regulators use to encourage production of renewable energy, we determine the profit-maximizing operating strategy of the firm. We also show how regulatory mechanisms affect the operating decisions of the waste-to-energy firm. Our analyses suggest that if the social planner's objective is to maximize landfill diversion, offering a subsidy as a per kilowatt-hour for electricity is more cost effective, whereas if the objective is to maximize renewable energy generation, giving a subsidy as a lump sum to offset capital costs is more effective. This has different regulatory implications for urban and rural settings where the environmental objectives may differ.|Barış Ata| Deishin Lee| Mustafa H. Tongarlak||||||||Kellogg School of Management, Northwestern University, Evanston, Illinois 60208|Harvard Business School, Harvard University, Boston, Massachusetts 02163|Kellogg School of Management, Northwestern University, Evanston, Illinois 60208||||||||USA|USA|USA|||||||
